Country Name,Value
Afghanistan,37172386
Albania,2866376
Algeria,42228429
Andorra,77006
Argentina,44494502
Armenia,2951776
Australia,24982688
Austria,8840521
Azerbaijan,9939800
Bahrain,1569439
Bangladesh,161356039
Belarus,9483499
Belgium,11433256
Bolivia,11353142
Bosnia and Herzegovina,3323929
Brazil,209469333
Bulgaria,7025037
Burkina Faso,19751535
Cameroon,25216237
Canada,37057765
Chile,18729160
China,1392730000
Colombia,49648685
Congo (Kinshasa),5244363
Costa Rica,4999441
Cote d'Ivoire,25069229
Croatia,4087843
Cuba,11338138
Cyprus,1189265
Czechia,10629928
Denmark,5793636
Djibouti,958920
Dominican Republic,10627165
Ecuador,17084357
Egypt,98423595
Estonia,1321977
Finland,5515525
France,66977107
Georgia,3726549
Germany,82905782
Ghana,29767108
Greece,10731726
Guinea,12414318
Honduras,9587522
Hungary,9775564
Iceland,352721
India,1352617328
Indonesia,267663435
Iran,81800269
Iraq,38433600
Ireland,4867309
Israel,8882800
Italy,60421760
Japan,126529100
Jordan,9956011
Kazakhstan,18272430
Kenya,51393010
"Korea, South",51606633
Kosovo,1845300
Kuwait,4137309
Kyrgyzstan,6322800
Latvia,1927174
Lebanon,6848925
Lithuania,2801543
Luxembourg,607950
Malaysia,31528585
Malta,484630
Mauritius,1265303
Mexico,126190788
Moldova,2706049
Montenegro,622227
Morocco,36029138
Netherlands,17231624
New Zealand,4841000
Niger,22442948
Nigeria,195874740
North Macedonia,2082958
Norway,5311916
Oman,4829483
Pakistan,212215030
Panama,4176873
Peru,31989256
Philippines,106651922
Poland,37974750
Portugal,10283822
Qatar,2781677
Romania,19466145
Russia,144478050
San Marino,33785
Saudi Arabia,33699947
Senegal,15854360
Serbia,6982604
Singapore,5638676
Slovakia,5446771
Slovenia,2073894
South Africa,57779622
Spain,46796540
Sri Lanka,21670000
Sweden,10175214
Switzerland,8513227
Thailand,69428524
Tunisia,11565204
Turkey,82319724
Ukraine,44622516
United Arab Emirates,9630959
United Kingdom,66460344
US,326687501
Uruguay,3449299
Uzbekistan,32955400
Venezuela,28870195
Vietnam,95540395
West Bank and Gaza,4569087
Taiwan*,23574274
Diamond Princess,3600
